		概要			ソフトウェア	トラッキング				入力	基礎能力		レンズ		ビジュアル			オーディオ			価格\n※込み込み		参考情報		
HMD Odyssey+	virtual winmr steam pc head6DoF bothhands6DoF	/images/headsets/Odyssey+.jpg	PC	Samsung による Windows MR 機の改良版。ビジュアル的な数字の上では変化がないように見えるが、Anti-SDE AMOLED ディスプレイを採用したことが大きな改良点。これにより、ピクセルの黒い隙間が見えづらくなったことで、より高精細に…倍の解像度に見える、というのが Samsung の言である。言われていないが、明るさの印象も上がって見えるのではないかと思われる。\n他に、本体の軽量化と大きな眼鏡、鼻サイズへの対応が行われており、より多くの人が扱いやすく、ますます隙のないデバイスとなった。	Windows Store\nSteamVR	6DoF	両手6DoF	Inside-Out のため制限なし	筆者未体験	ハンドコントローラー（6DoF）\nXbox One Controller（別売）	PC依存	-	60 - 72mm	-	29.95px（Anti-SDE により、さらに高精細に見える？）	2880 × 1600 @ 60 / 90fps	110度	ヘッドフォン備え付け （AKG 360° Spatial Sound）	アレイマイク内臓	-	$499.99	-	link:公式サイト,https://www.samsung.com/us/computing/hmd/windows-mixed-reality/hmd-odyssey-windows-mixed-reality-headset-xe800zba-hc1us/	link:発表時のリリース文,https://www.samsungmobilepress.com/news/taking-mixed-reality-to-another-level-with-the-samsung-hmd-odyssey-plus	
HMD Odyssey	virtual winmr steam pc head6DoF bothhands6DoF	/images/headsets/Samsung%20Odyssey.jpg	PC	Samsung による Windows MR 対応ヘッドセットの本命。有機 EL による豊かな発色、破綻のない諧調表現、スイートスポットが広く見やすいレンズ、広い視野角を備え、横並びなのは値段だけ。IPD もハードウェアで調整可能。装着感も良好だが、人によってはやや重さを感じる面もあるらしい。すごい。WinMR では唯一フリプアップ機構を搭載していない。	Windows Store\nSteamVR	6DoF	両手6DoF	Inside-Out のため制限なし	◎	ハンドコントローラー（6DoF）\nXbox One Controller（別売）	PC依存	-	60 - 72mm	-	29.95px	2880 × 1600 @ 60 / 90fps	110度	ヘッドフォン備え付け （AKG 360° Spatial Sound）	アレイマイク内臓	-	$499.99	-	link:公式サイト,https://www.samsung.com/us/computing/hmd/windows-mixed-reality/xe800zaa-hc1us-xe800zaa-hc1us/		
Oculus Rift CV1（2019/4/22 販売終了）	virtual oculus steam pc head6DoF bothhands6DoF	/images/headsets/Oculus%20Rift%20CV1.jpg	PC	VR ブームを巻き起こした Oculus による最初のリリース製品。Oculus Touch によるハンドプレゼンスは他の追随を許さず、Oculus 自身によるコンテンツへの投資で、専用の高品質なタイトルが多く遊べる。社をかけたプレゼンスへの執着がすごい。	Oculus\nSteamVR\nViveport	6DoF（Constellation）	両手6DoF	最大1.5m四方（2センサー）\n最大3.1m四方（3センサー）	◎	Oculus Touch\nXbox One Controller（別売）\nOculus Remote（別売）	PC依存	-	58 - 72mm	-	22.46px	2160 × 1200 @ 90fps	110度	ヘッドフォン備え付け	マイク内蔵	-	$349	¥45,000	link:公式サイト,https://www.oculus.com/rift/		
HTC Vive	virtual steam pc head6DoF bothhands6DoF	/images/headsets/HTC%20Vive.jpg	PC	HTC による初のハイエンドヘッドセット。初期ハイエンドVR市場で Oculus に負けない代表勢力の地位を築いた。Valve の SteamVR に準拠しており、Lighthouse による広範囲の安定したトラッキングが可能。	SteamVR\nViveport	6DoF（SteamVR Tracking 1.0）	両手6DoF	最大3.5m四方 （実際頑張れば5m四方も）	◎	Vive Controller\nVive Tracker（別売）	PC依存	-	60.8 - 74.7mm	-	22.46px	2160 × 1200 @ 90fps	110度	なし 別売りの Deluxe Audio Strap あり	マイク内蔵	ステレオミニ	¥499	¥69,390	link:公式サイト,https://www.vive.com/jp/product/		
Oculus Quest（Santa Cruz）	virtual oculus mobile standalone head6DoF bothhands6DoF	/images/headsets/Oculus%20Quest.jpg	スタンドアロン	Oculus によるハイエンド・スタンドアロン。頭と両手のポジショントラッキングが可能な初のスタンドアロン・ヘッドセットとなる予定である。Oculus Insight と呼ばれるトラッキングシステムを持ち、4つのトラッキングカメラを4隅に配することで、かなり後ろの角度までハンドトラッキングが可能。また、体験者によれば Rift にも劣らない滑らかなトラッキングが最初の発表時から既に実現されていたとのこと。コンテンツの移植作業に関しては、Rift 用の Touch を使って開発が可能。主に性能面での最適化を進める形になる。OC4 での発表では、2018年に開発者版を出荷予定。OC5 での発表により、空間に存在する障害物を単純化して認識したり、複数の部屋にまたがる強化された Guardian や、複数人で同じ空間のスキャン結果を共有できる能力などが明らかになった。Oculus Go より低音の改善されたスピーカーも搭載している。399ドルで2019年春発売。	Oculus Store（Quest）	6DoF（Oculus Insight）	両手6DoF	Inside-Out のため制限なし。複数の部屋にわたって Guardian を構築できる。	◎	Oculus Touch (for Oculus Quest & Rift S)	Snapdragon 835	64GB\n128GB	58 - 72mm	-	31.90px	3200 × 1440 @ 72fps	110度（Oculus Go と同じレンズ）	ステレオスピーカー内蔵	マイク内蔵	ステレオミニ	64GB: $399\n128GB: $499	64GB: ¥49,800\n128GB: ¥62,800	link:公式サイト,https://www.oculus.com/quest/	link:Mogura VR さんの徹底レポ（OC5）,https://www.moguravr.com/oculus-quest-2/	link:Mogura VR さんの体験レビュー（OC4）,https://www.moguravr.com/santa-cruz-oc4/
PlayStation VR	virtual psvr console head6DoF bothhands6DoF	/images/headsets/PlayStation%20VR.png	コンソール	Sony Interactive Entertainment によるハイエンドヘッドセット。PlayStation 4 シリーズに接続。元は Project Morpheus と呼ばれていた。遊びのノウハウに優れたコンソールゲームメーカーによる高品質なタイトルが遊べる他、ハイエンドの中ではインストールベースが大きいことからか、注目の無料デモの配信先となることも多い。	PlayStation	6DoF	両手6DoF	横1.9m × 縦3m（カメラの錐台の範囲）	◎	PlayStation Move	PlayStation 4 / PlayStation 4 Pro	-	PlayStation Camera による キャリブレーション（範囲不明）	-	22.03px（RGBサブピクセルを1つにまとめて計算）	1920 × RGB × 1080 @ 90 / 120fps	100度	イヤホン付属	マイク内蔵	ステレオミニ	$399	¥48,578	link:公式サイト,http://www.jp.playstation.com/psvr/		
Vive Focus Plus	virtual mobile standalone head6DoF bothhands6DoF 	/images/headsets/Vive%20Focus%20Plus.jpg	スタンドアロン	エンタープライズ向けを標榜する、アップデート版 Vive Focus。超音波を使用した 6DoF コントローラーが同梱され、体験の幅が大きく広がりそう。表示の網目感を軽減する新しいレンズも新たに採用している。\nキオスクモード、視線サポート、複数のヘッドセットをリモートで一括管理できるデバイス管理ツールが提供される。	VIVE WAVE\nViveport	6DoF（World-Scale Tracking）	両手6DoF	Inside-Out のため制限なし	筆者未体験	ハンドコントローラー	Snapdragon 835	内臓ストレージ不明\n2TBまでの microSD をサポート	可変（範囲不明）	-	29.95px	2880 × 1600 @ 75fps	110度	ステレオスピーカー内臓	マイク内蔵	ステレオミニ	$799	?	link:公式サイト,https://enterprise.vive.com/jp/focus-plus/	link:Mogura VR さんの記事,https://www.moguravr.com/vive-focus-plus-announce/	link:,
Vive Focus	virtual mobile standalone head6DoF onehand3DoF onehand6DoF bothhands6DoF	/images/headsets/Vive%20Focus.jpg	スタンドアロン	HTC によるスタンドアロンのヘッドセット。VR 対応を目玉の一つとして持つ Snapdragon 835 を採用し、外部センサーなしでポジショントラッキングが行える。当初はよくある 3DoF コントローラーだったが、アップデートで 6DoF 化（!?）すると発表され各所に衝撃を与えた。さらに、HTC U12+ スマートフォンを追加のコントローラーとして使用することができる予定であり、6DoF 両手という意味では Santa Cruz に先行するヘッドセットとなりうるハイスペックマシンである。2018年10月20日、新しい機材としての両手 6DoF コントローラーの開発者版が発表された。	Vive Wave\nViveport	6DoF（World-Scale Tracking）	片手3DoF\n片手6DoF（アップデート）\n両手6DoF（HTC U12+ または対応コントローラー接続時）	Inside-Out のため制限なし	○	ハンドコントローラー（3DoF）	Snapdragon 835	内臓ストレージ不明\n2TBまでの microSD をサポート	可変（範囲不明）	-	29.95px	2880 × 1600 @ 75fps	110度	ステレオスピーカー内臓	マイク内蔵	ステレオミニ	Electric Blue: 4,299中国元\nAlmond White: 3,999中国元	法人向け：¥72,090	link:公式サイト,https://www.vive.com/cn/product/vive-focus-en/	link:国内発売を伝える PANORA さんの記事,https://panora.tokyo/78184/	link:6DoF コントローラーに関する Mogura VR さんの記事,https://www.moguravr.com/htc-6dof-controller/
Mirage Solo	virtual daydream mobile standalone head6DoF onehand3DoF	/images/headsets/Mirage%20Solo.jpg	スタンドアロン	CES 2018 で発表された Lenovo のスタンドアロン。外部センサーなしでポジショントラッキングが行える。Daydream で初のスタンドアロン。このスペックで400ドルを切るということで注目を集めている。見た目も可愛い。Oculus Go が削ったものを全部乗せた感じ。\n2019/4/1、ソフトウェア・アップデートによって、立体視の可能なパススルーモードが搭載された。	Daydream	6DoF（WorldSense）	片手3DoF	Inside-Out のため制限なし	◎	ハンドコントローラー（3DoF）	Snapdragon 835	64GB\n256GBまでの microSD をサポート	固定（数値不明）	-	26.70px	2560 × 1440 @ 75fps	110度	-	デュアルマイク	ステレオミニ	$399	¥55,296	link:公式サイト,https://www.lenovo.com/jp/ja/vr-smartdevices/augmented-reality/lenovo-mirage-solo/Mirage-Solo/p/ZZIRZRHVR01		
XTAL	virtual augmented pc head6DoF bothhands6DoF	/images/headsets/XTAL.png	PC	プラハの VRgineers による VR ヘッドセット。業務向けに振りに振って「全部載せ」を極めた印象。アイトラッキングによって IPD を調整（レンズが自動で動く）する AutoEye、革製フェイスクッション、OptiTrack、ART、SteamVR Tracking 2.0、搭載カメラを使ったインサイドアウトトラッキング、Leap Motion、内臓マイクと音声認識ソフトウェアを持ち、5K 解像度に170度の視野角、これは特許取得済みのフレネルじゃないレンズによってヘッドセットのサイズと重さも軽減しているらしい。また、Autodesk の VRED 対応も統合されており、高忠実度なレンダリングを即座に XTAL で確認できるらしい。これだけモリモリなのでお値段もモリモリだけど業務用だからOK。GPU も GeForce じゃなくて Quadro で最適化してあるとのこと。なるほどニャンね。さらに AR（MR）モードに切り替えられるモジュールも発表され、用途の幅を継続的に広げている。	不明	6DoF（AR トラッキング、OptiTrack、、SteamVR Tracking 2.0）	両手6DoF（内蔵 Leap Motion、Vive Controller、AR ベースのトラッカブルオブジェクト）	選択したトラッキングシステム準拠	筆者未体験	Leap Motion による両手のトラッキング	PC依存	-	アイトラッキングシステムによる自動調整	?	31.29px	5120 × 1440 @ fps 不明	180度	多分-	マイク内蔵	?	$5,800	?	link:公式サイト,https://vrgineers.com/xtal/		
StarVR One XT（発売中止）	virtual pc head6DoF bothhands6DoF	/images/headsets/StarVR%20One%20XT.png	PC	StarVR One と同時に発表されたヘッドセット。One とはトラッキングシステムのみが異なる。XT はアクティブトラッキングマーカーを搭載しており、様々な種類の光学トラッキングシステムで使用することができる。おそらく、OptiTrack をはじめとした著名な仕組みに対応しており、SteamVR Tracking 以上のトラッキング範囲（体育館サイズ）が欲しいとか、Vive Tracker 以上の密度や数（指とか）のトラッキングが必要な場合に対応可能、あるいはシステムを統一できる利点がある。いくつかのトラッキングシステム用のプラグインは用意もしてくれている。\n残念ながら会社が解散し、発売には至らなかった。	不明	6DoF（光学式）	両手6DoF（トラッキングシステムに手を自前で追加すれば可能）	任意の光学トラッキングシステムによるスケーラブルな追跡範囲	筆者未体験	トラッキングシステムに手を自前で追加すれば可能	PC依存	-	ソフトウェアによる自動調整	-	-	解像度非公開 @ 90fps	水平210度・垂直130度	-	多分なし	ステレオミニ（マイク対応）	未定（2018/08/16時点）	未定（2018/08/16時点）	link:公式サイト,https://www.starvr.com/products/	link:発売中止を伝えるツイートと記事,https://twitter.com/T_Otsuki/status/1080718129578143744	
StarVR One（発売中止）	virtual steam pc head6DoF bothhands6DoF	/images/headsets/StarVR%20One.png	PC	広視野角のヘッドセットを製作している台湾の StarVR が手がけるヘッドセット。SIGGRAPH 2018 にて発表された。\n従来の開発モデルと同様に210度の水平視野角を持ち、人間の視野をほぼカバーしている（人の水平視野は220度程度）。本モデルでは、Dynamic Foveated Rendering を実装し、体験者が見ている部分のみを高解像度でレンダリングすることで描画負荷を下げている。とはいえ高解像度なことに変わりはないのか、GTX 1080 が必要である。開発モデルでは視界が横長の印象が強かったのだが、垂直視野角が10度広がったことで、自然に「広さ」を体感できるようになった。僅かなぼやけは感じるものの解像感も高く、発色や応答も良い印象で、レンズ歪みも非常に少なく、これまでの VR の視野の印象を覆してくれる。\n残念ながら会社が解散し、発売には至らなかった。	SteamVR	6DoF（SteamVR Tracking 2.0）	両手6DoF（PC 向け Vive シリーズのコントローラーを使用可能）	SteamVR Tracking 2.0 準拠	○	PC 向け Vive シリーズのコントローラーを使用可能	PC依存	-	ソフトウェアによる自動調整	-	-	解像度非公開 @ 90fps	水平210度・垂直130度	-	多分なし	ステレオミニ（マイク対応）	未定（2018/08/16時点）	¥480,600	link:公式サイト,https://www.starvr.com/products/	link:MoguraVR さんの体験レポ,https://www.moguravr.com/starvr-one-report-vr/	link:発売中止を伝えるツイートと記事,https://twitter.com/T_Otsuki/status/1080718129578143744
Pimax 8K	virtual steam pc head6DoF bothhands6DoF	/images/headsets/Pimax%208K.png	PC	VR ヘッドセットのスタートアップによる8Kヘッドセット。高い画素密度と200度の広大な視野角を備え、体験者の感想は「これだよ、これ！」。見た目やサイズの割にはとても軽量で、被っていても重たい感じがしない。Knuckles 準拠コントローラーを出荷する最初のメーカになるかもしれない。製品版より少し前のバージョンを試したところ、色や遅延についてはかなりいいレベルに到達していた。周縁部のレンズゆがみが気になるが、それ以外の大きな問題は感じられない。製品版が発表され、Inside-Out や独自のトラッキングシステムといった追加要素は無くなったが、堅実なところにまとめてきた感がある。Brainwarp が謎だが、おそらく Oculus の Asynchronous Spacewarp や Valve の Motion Smoothing と似たフレーム補完テクノロジーと予想できる。	SteamVR\nOculus（多分 Revive を使えという意味）	6DoF（SteamVR Tracking）	両手6DoF	最大3.5m四方 （実際頑張れば5m四方も）	○	Knuckles 準拠コントローラー（6DoF）	PC依存	-	調整可能（範囲不明）	-	39.89px	7680 × 2160 @ 80fps（Brainwarp をサポート）	200度	-	マイク内蔵	恐らくモノラルミニ × 2	Kickstarter: $749\n単体: $899\nコントローラー付き: $1,068	?	link:公式サイト,https://pimaxvr.com/products/pimax-8k-vr-headset		
Pimax 5K Plus / BE	virtual steam pc head6DoF bothhands6DoF	/images/headsets/Pimax%205K.png	PC	画像はBE（Business Edition）。\nPimax による 5K ヘッドセット。8K と同じ 200 度の高視野角を確保しており、同クラスの超高視野角ヘッドセットとしては破滅的に安価。それでありながら、画素密度の面では Rift や Vive をやや超えるものがあり、視界が広いだけで解像度は…ということもなさそうである（光学系の兼ね合いもあるので、実際に被ってみないとわからないが）。ご家庭で買える価格で一般販売される初の200度級ヘッドセットとなるため、なかなか気になるところ。\n商業向けとして販売される BE は、ディスプレイが独自液晶の CLPL から有機 EL に変更されており、発色もろもろが優れていると考えられる。	SteamVR\nOculus（多分 Revive を使えという意味）	6DoF（SteamVR Tracking）	両手6DoF	最大3.5m四方 （実際頑張れば5m四方も）	○	Knuckles 準拠コントローラー（6DoF）	PC依存	-	調整可能（範囲不明）	-	26.59px	Plus: 5120 × 1440 @ 90fps（CLPL。Brainwarp をサポート。）\nBE: 5120 × 1440 @ 85±2fps（有機EL）	200度	-	マイク内蔵	恐らくモノラルミニ × 2	Plus 単体: $699\nPlus コントローラー付き: $868\nBE 単体: $999\nBE コントローラー付き: $1,168	?	link:公式サイト（Plus）,https://pimaxvr.com/products/pimax-5k-plus-vr-headset	link:公式サイト（BE）,https://pimaxvr.com/products/pimax-5k-be-vr-headset	
VRM-100	virtual steam pc head3DoF	/images/headsets/VRM-100.jpg	PC	ジャパンディスプレイによる高精彩 VR ヘッドセット。615 ppi の画素密度を備える JDI の初回作である。SteamVR のコンテンツを楽しむことができる。なおコントローラーは付属せず、3DoF であるため、専ら映像視聴に全振りした事業向けのモデルと考えることができる。なお Vive Pro も 615 ppi だが、文字通り値段が1桁違うため、高画質な動画を見せたい場合にはベストな選択肢となりうる。JDI は 1000 ppi を超える VR 向けディスプレイを制作しているため、今後の製品が楽しみである。	SteamVR	3DoF	-	3DoF のためエリアなし	筆者未体験	-	PC依存	-	可変（範囲不明）	-	34.63px	2880 × RGB × 1600 @ 60 / 80fps	96度（付属品の場合）	-	-	ステレオミニ	-	¥53,784	link:公式サイト,https://www.j-display.com/product/vr.html		
